epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1070.2,0.4017,0.37881,0.85404,0.9962,1,0.995,0.94808,0.33855,0.2553,0.78939,0.002938,0.002938,0.002938
109,1080.34,0.39228,0.37526,0.86073,0.99598,1,0.995,0.95306,0.33571,0.25388,0.78873,0.002872,0.002872,0.002872
110,1090.15,0.39176,0.35871,0.86255,0.99627,1,0.995,0.94555,0.34814,0.26453,0.79303,0.002806,0.002806,0.002806
111,1099.81,0.3906,0.37568,0.8581,0.9958,1,0.995,0.94851,0.334,0.25009,0.78812,0.00274,0.00274,0.00274
112,1109.52,0.37702,0.36095,0.85479,0.99564,1,0.995,0.947,0.33692,0.2589,0.78889,0.002674,0.002674,0.002674
113,1119.35,0.38742,0.35858,0.85151,0.99644,1,0.995,0.94191,0.33939,0.25926,0.78855,0.002608,0.002608,0.002608
114,1128.74,0.39237,0.36801,0.86684,0.99664,1,0.995,0.94784,0.33777,0.25268,0.78863,0.002542,0.002542,0.002542
115,1137.87,0.39119,0.36424,0.85867,0.99655,1,0.995,0.94683,0.32878,0.23815,0.78644,0.002476,0.002476,0.002476
116,1147.22,0.39318,0.35208,0.8615,0.99679,1,0.995,0.9536,0.34172,0.24748,0.78822,0.00241,0.00241,0.00241
117,1156.74,0.38228,0.35039,0.86313,0.99695,1,0.995,0.94671,0.33573,0.25348,0.78711,0.002344,0.002344,0.002344
118,1166.05,0.38915,0.36444,0.85992,0.99616,1,0.995,0.95252,0.33558,0.24633,0.78773,0.002278,0.002278,0.002278
119,1175.63,0.39025,0.35377,0.85876,0.99636,1,0.995,0.94248,0.33532,0.25754,0.78862,0.002212,0.002212,0.002212
120,1185.89,0.37772,0.34874,0.84967,0.9963,1,0.995,0.94803,0.33797,0.25082,0.78865,0.002146,0.002146,0.002146
121,1195.68,0.38051,0.35453,0.86178,0.99625,1,0.995,0.95255,0.3246,0.24251,0.78686,0.00208,0.00208,0.00208
122,1206.88,0.37812,0.34775,0.85006,0.99649,1,0.995,0.95483,0.3238,0.24283,0.78635,0.002014,0.002014,0.002014
123,1223.96,0.36789,0.35174,0.84796,0.99659,1,0.995,0.95604,0.32806,0.24287,0.78519,0.001948,0.001948,0.001948
124,1234.78,0.35527,0.32823,0.8361,0.9968,1,0.995,0.95042,0.33301,0.23946,0.78724,0.001882,0.001882,0.001882
125,1243.7,0.38056,0.3394,0.86106,0.99662,1,0.995,0.9563,0.32482,0.24259,0.78684,0.001816,0.001816,0.001816
126,1253.19,0.37216,0.33263,0.84789,0.99722,1,0.995,0.95062,0.31986,0.24371,0.78613,0.00175,0.00175,0.00175
127,1262.61,0.38322,0.34147,0.8616,0.99541,1,0.995,0.95262,0.32242,0.24003,0.78612,0.001684,0.001684,0.001684
128,1272.28,0.36506,0.32986,0.85109,0.99635,1,0.995,0.94678,0.32886,0.24504,0.78493,0.001618,0.001618,0.001618
129,1282.21,0.37544,0.33247,0.85856,0.99574,1,0.995,0.95432,0.32233,0.23849,0.78529,0.001552,0.001552,0.001552
130,1291.81,0.36256,0.31783,0.85306,0.99591,1,0.995,0.9543,0.31465,0.2404,0.78262,0.001486,0.001486,0.001486
131,1301.35,0.37899,0.34103,0.84364,0.99695,1,0.995,0.95394,0.32137,0.23862,0.78421,0.00142,0.00142,0.00142
132,1310.57,0.36901,0.34033,0.85399,0.99666,1,0.995,0.95742,0.32134,0.2351,0.78391,0.001354,0.001354,0.001354
133,1320.22,0.36294,0.34222,0.84644,0.99579,1,0.995,0.95758,0.31861,0.23292,0.7821,0.001288,0.001288,0.001288
134,1329.94,0.36885,0.32263,0.85547,0.99642,1,0.995,0.95561,0.32037,0.22952,0.78261,0.001222,0.001222,0.001222
135,1339.67,0.3578,0.32689,0.84445,0.99577,1,0.995,0.95055,0.31811,0.22688,0.78328,0.001156,0.001156,0.001156
136,1349.49,0.36723,0.33301,0.84959,0.99661,1,0.995,0.95588,0.31868,0.22639,0.78421,0.00109,0.00109,0.00109
137,1358.83,0.34961,0.31422,0.83903,0.99649,1,0.995,0.96045,0.3088,0.22963,0.78223,0.001024,0.001024,0.001024
138,1367.74,0.35589,0.32488,0.8532,0.9961,1,0.995,0.95916,0.31634,0.23079,0.78258,0.000958,0.000958,0.000958
