epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,315.317,0.69266,0.5395,1.03506,0.88358,0.91154,0.94257,0.67875,0.95737,0.68463,1.14172,0.000886694,0.000886694,0.000886694
117,318.63,0.73427,0.59385,1.0578,0.83969,0.87057,0.89965,0.64104,0.97362,0.71056,1.13447,0.000881979,0.000881979,0.000881979
118,321.912,0.72266,0.57716,1.03959,0.86542,0.81902,0.89884,0.64875,0.95044,0.72308,1.13142,0.000877263,0.000877263,0.000877263
119,325.205,0.70081,0.54989,1.03307,0.86998,0.8488,0.92106,0.66813,0.93882,0.64432,1.13344,0.000872547,0.000872547,0.000872547
120,328.382,0.74566,0.58807,1.05596,0.88374,0.85809,0.91957,0.65304,0.94506,0.6519,1.13609,0.000867832,0.000867832,0.000867832
121,331.605,0.74654,0.59053,1.06108,0.88188,0.84027,0.9015,0.65987,0.95446,0.66451,1.1283,0.000863116,0.000863116,0.000863116
122,334.843,0.7371,0.56887,1.05631,0.86296,0.8364,0.90975,0.66643,0.91727,0.63604,1.09583,0.0008584,0.0008584,0.0008584
123,338.081,0.7363,0.56978,1.06804,0.89968,0.85524,0.93774,0.68408,0.89903,0.61333,1.09042,0.000853685,0.000853685,0.000853685
124,341.376,0.69197,0.55115,1.04706,0.92258,0.84694,0.92736,0.6794,0.95995,0.64013,1.11423,0.000848969,0.000848969,0.000848969
125,344.605,0.70902,0.56252,1.03721,0.91573,0.89313,0.94349,0.68331,0.91466,0.61192,1.09107,0.000844253,0.000844253,0.000844253
126,347.809,0.71262,0.56665,1.05804,0.83057,0.91733,0.9282,0.6806,0.8939,0.60464,1.0905,0.000839537,0.000839537,0.000839537
127,351.045,0.66543,0.54024,1.02754,0.923,0.84262,0.92462,0.66646,0.93173,0.58261,1.11696,0.000834822,0.000834822,0.000834822
128,354.286,0.66565,0.53826,1.0151,0.88096,0.85494,0.91852,0.67033,0.92739,0.61594,1.13001,0.000830106,0.000830106,0.000830106
129,357.667,0.66225,0.53383,1.0212,0.8961,0.87205,0.93161,0.66677,0.92745,0.61843,1.12249,0.00082539,0.00082539,0.00082539
130,360.914,0.71608,0.57708,1.05116,0.92605,0.86877,0.92746,0.65263,0.96629,0.59159,1.13171,0.000820675,0.000820675,0.000820675
131,364.122,0.69011,0.54053,1.03607,0.88365,0.88258,0.91008,0.64964,0.93157,0.61993,1.11537,0.000815959,0.000815959,0.000815959
132,367.367,0.72181,0.54974,1.07602,0.86371,0.88175,0.90466,0.6305,1.00059,0.65468,1.17105,0.000811243,0.000811243,0.000811243
133,370.761,0.70528,0.54022,1.03335,0.87941,0.85582,0.9091,0.65674,0.93741,0.63613,1.13041,0.000806528,0.000806528,0.000806528
134,373.958,0.68368,0.54397,1.03276,0.90715,0.85216,0.92829,0.66446,0.90397,0.59419,1.1143,0.000801812,0.000801812,0.000801812
135,377.178,0.69698,0.53073,1.02456,0.94051,0.81782,0.92255,0.65298,0.95802,0.62449,1.12407,0.000797096,0.000797096,0.000797096
136,380.5,0.67939,0.54776,1.0293,0.93205,0.7969,0.90527,0.66515,0.92071,0.64013,1.09695,0.00079238,0.00079238,0.00079238
137,383.728,0.72298,0.56198,1.04691,0.8892,0.8127,0.88884,0.64885,0.94531,0.65821,1.11162,0.000787665,0.000787665,0.000787665
138,387.118,0.67603,0.54744,1.03904,0.92714,0.84885,0.90359,0.64458,0.97009,0.63892,1.13386,0.000782949,0.000782949,0.000782949
139,390.406,0.67025,0.53785,1.03429,0.90921,0.85539,0.91608,0.67247,0.92884,0.61654,1.12493,0.000778233,0.000778233,0.000778233
140,393.656,0.66795,0.532,1.01904,0.9115,0.87245,0.93678,0.69031,0.92591,0.60589,1.11761,0.000773518,0.000773518,0.000773518
141,396.9,0.66827,0.53917,1.02718,0.89291,0.87548,0.93415,0.67328,0.91588,0.61574,1.102,0.000768802,0.000768802,0.000768802
142,400.228,0.64523,0.52753,1.01265,0.89338,0.8754,0.93892,0.67591,0.91506,0.60644,1.10762,0.000764086,0.000764086,0.000764086
143,403.618,0.67308,0.53201,1.02213,0.86819,0.89425,0.93463,0.67931,0.92362,0.62629,1.10717,0.000759371,0.000759371,0.000759371
144,406.951,0.69029,0.54344,1.05493,0.91656,0.86286,0.94245,0.68257,0.9379,0.62146,1.10713,0.000754655,0.000754655,0.000754655
145,410.35,0.66511,0.52565,1.02481,0.86362,0.859,0.93248,0.67588,0.91072,0.67355,1.11358,0.000749939,0.000749939,0.000749939
146,413.58,0.64917,0.51619,1.00903,0.85933,0.84132,0.92997,0.66431,0.91193,0.70477,1.11134,0.000745223,0.000745223,0.000745223
147,416.85,0.68087,0.54025,1.04132,0.90475,0.85342,0.92114,0.66574,0.9139,0.62224,1.10314,0.000740508,0.000740508,0.000740508
148,420.172,0.67881,0.53188,1.03669,0.90132,0.85882,0.93047,0.67639,0.90657,0.58347,1.08373,0.000735792,0.000735792,0.000735792
149,423.49,0.66545,0.53276,1.00908,0.87644,0.84798,0.91344,0.67765,0.90513,0.61408,1.0981,0.000731076,0.000731076,0.000731076
150,426.835,0.7077,0.54774,1.04425,0.83624,0.88286,0.92507,0.6647,0.93244,0.6322,1.11482,0.000726361,0.000726361,0.000726361
151,430.083,0.66333,0.52321,1.024,0.90509,0.83775,0.93388,0.66295,0.94441,0.59214,1.1155,0.000721645,0.000721645,0.000721645
152,433.335,0.66655,0.52099,1.02494,0.93622,0.83406,0.93062,0.66486,0.97039,0.59323,1.14507,0.000716929,0.000716929,0.000716929
153,436.615,0.66159,0.53191,1.02965,0.90847,0.86672,0.9346,0.65799,0.93198,0.59888,1.13596,0.000712214,0.000712214,0.000712214
154,439.968,0.62324,0.50824,1.01145,0.90801,0.86103,0.93487,0.67228,0.94737,0.63148,1.15453,0.000707498,0.000707498,0.000707498
155,443.197,0.62464,0.49828,1.00289,0.85885,0.90423,0.93449,0.68054,0.95159,0.61715,1.14857,0.000702782,0.000702782,0.000702782
156,446.4,0.6353,0.49529,1.01868,0.87929,0.88283,0.92946,0.67754,0.94613,0.64699,1.14376,0.000698066,0.000698066,0.000698066
157,449.761,0.63164,0.49691,1.01114,0.91078,0.8363,0.92554,0.67527,0.92774,0.66439,1.1273,0.000693351,0.000693351,0.000693351
158,453.016,0.64431,0.50799,1.00539,0.88793,0.86115,0.9321,0.67609,0.90544,0.66235,1.11252,0.000688635,0.000688635,0.000688635
159,456.249,0.65312,0.49505,1.01581,0.8461,0.90238,0.93667,0.68082,0.91359,0.65095,1.11251,0.000683919,0.000683919,0.000683919
160,459.606,0.6397,0.49704,1.01732,0.87994,0.8836,0.93076,0.67874,0.91743,0.63511,1.10734,0.000679204,0.000679204,0.000679204
161,462.988,0.67748,0.52746,1.02619,0.86059,0.86329,0.91673,0.67451,0.88964,0.60705,1.08579,0.000674488,0.000674488,0.000674488
162,466.405,0.63868,0.50354,1.01275,0.91046,0.86469,0.93427,0.68903,0.88611,0.59223,1.07487,0.000669772,0.000669772,0.000669772
163,469.654,0.65957,0.51283,1.02722,0.88487,0.87617,0.93073,0.67838,0.9073,0.62956,1.08383,0.000665057,0.000665057,0.000665057
164,472.911,0.6357,0.51592,1.00751,0.92725,0.85462,0.93193,0.67519,0.90019,0.63596,1.09368,0.000660341,0.000660341,0.000660341
165,476.089,0.6308,0.5207,1.02251,0.87922,0.87225,0.92509,0.67751,0.90083,0.60258,1.08659,0.000655625,0.000655625,0.000655625
166,479.38,0.62315,0.47257,0.99186,0.91836,0.87196,0.91547,0.66687,0.91384,0.60257,1.09912,0.000650909,0.000650909,0.000650909
167,482.64,0.61802,0.48667,1.0094,0.91677,0.88359,0.92216,0.66857,0.91142,0.60413,1.09848,0.000646194,0.000646194,0.000646194
168,485.885,0.63701,0.51462,1.01846,0.94273,0.85974,0.92637,0.68153,0.91033,0.60623,1.08819,0.000641478,0.000641478,0.000641478
169,489.105,0.61441,0.48745,1.00077,0.91083,0.86789,0.92881,0.68285,0.93269,0.60763,1.105,0.000636762,0.000636762,0.000636762
170,492.21,0.62548,0.50681,1.00302,0.94473,0.85002,0.93235,0.68226,0.93305,0.61863,1.12551,0.000632047,0.000632047,0.000632047
171,495.442,0.61861,0.48466,1.02278,0.89445,0.90085,0.93293,0.6825,0.9287,0.63913,1.11793,0.000627331,0.000627331,0.000627331
172,498.679,0.62621,0.4904,1.01565,0.91181,0.85235,0.91117,0.67036,0.91559,0.6105,1.13484,0.000622615,0.000622615,0.000622615
173,501.976,0.61985,0.4731,0.99762,0.88828,0.85236,0.90739,0.66632,0.9206,0.61096,1.1413,0.0006179,0.0006179,0.0006179
174,505.224,0.62147,0.499,1.00092,0.8807,0.86957,0.91383,0.67224,0.91687,0.64519,1.12045,0.000613184,0.000613184,0.000613184
175,508.398,0.59683,0.4646,1.00754,0.92111,0.83259,0.91592,0.68069,0.89259,0.64822,1.09782,0.000608468,0.000608468,0.000608468
176,511.735,0.6181,0.48536,1.02867,0.9179,0.85847,0.91413,0.67818,0.89796,0.6264,1.10114,0.000603752,0.000603752,0.000603752
